City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
52,Bengkulu,ID,2020-02-23 21:43:47,-3.8,102.27,74.08,89,3,4.56,clear sky,0.0,0.0
53,Bethel,US,2020-02-23 21:43:14,41.37,-73.41,54.0,20,5,9.17,clear sky,0.0,0.0
54,Cap-Aux-Meules,CA,2020-02-23 21:43:47,47.38,-61.86,30.2,74,20,11.41,few clouds,0.0,0.0
55,Tubuala,PA,2020-02-23 21:43:47,9.52,-79.03,88.0,38,40,16.11,scattered clouds,0.0,0.0
56,Srednekolymsk,RU,2020-02-23 21:43:47,67.45,153.68,-24.97,98,78,1.59,broken clouds,0.0,0.0
57,Hermanus,ZA,2020-02-23 21:43:47,-34.42,19.23,66.99,76,0,8.99,clear sky,0.0,0.0
58,Manggar,ID,2020-02-23 21:43:47,-2.88,108.27,82.13,81,48,19.42,moderate rain,4.56,0.0
59,Vila Velha,BR,2020-02-23 21:38:56,-20.33,-40.29,77.0,69,90,13.87,overcast clouds,0.0,0.0
60,Catamarca,AR,2020-02-23 21:43:48,-28.47,-65.79,68.0,71,51,1.01,broken clouds,0.0,0.0
61,Funadhoo,MV,2020-02-23 21:43:48,6.15,73.27,83.12,76,26,16.26,scattered clouds,0.0,0.0
62,Slyudyanka,RU,2020-02-23 21:43:48,51.66,103.71,4.21,90,100,1.01,overcast clouds,0.0,0.0
63,Pandan,PH,2020-02-23 21:43:48,14.05,124.17,78.67,81,0,16.44,light rain,0.38,0.0
64,Santona,ES,2020-02-23 21:43:48,43.44,-3.46,51.8,93,90,3.36,mist,0.0,0.0
65,Acoyapa,NI,2020-02-23 21:43:48,11.97,-85.17,86.0,55,40,6.93,scattered clouds,0.0,0.0
66,Iqaluit,CA,2020-02-23 21:43:48,63.75,-68.51,-25.01,67,20,10.29,few clouds,0.0,0.0
67,Lipari,IT,2020-02-23 21:43:48,38.47,14.95,57.99,87,40,6.93,scattered clouds,0.0,0.0
68,Torbay,CA,2020-02-23 21:43:48,47.67,-52.73,33.01,81,20,13.87,few clouds,0.0,0.0
69,Newport,GB,2020-02-23 21:42:07,51.59,-3.0,46.99,75,100,3.36,light rain,0.0,0.0
70,Jalingo,NG,2020-02-23 21:43:48,8.88,11.37,79.66,13,0,5.06,clear sky,0.0,0.0
71,Aberdeen,GB,2020-02-23 21:43:48,57.14,-2.1,37.4,74,4,9.17,clear sky,0.0,0.0
72,Kieta,PG,2020-02-23 21:43:48,-6.22,155.63,81.63,74,37,4.47,light rain,1.0,0.0
73,Teguldet,RU,2020-02-23 21:43:48,57.31,88.17,12.02,96,98,2.71,overcast clouds,0.0,0.0
74,Mahebourg,MU,2020-02-23 21:43:48,-20.41,57.7,77.0,88,40,4.7,scattered clouds,0.0,0.0
75,Abashiri,JP,2020-02-23 21:43:48,44.02,144.27,23.02,78,56,14.38,broken clouds,0.0,0.0
76,Puerto Ayora,EC,2020-02-23 21:43:48,-0.74,-90.35,84.2,74,75,10.29,broken clouds,0.0,0.0
77,Laiwu,CN,2020-02-23 21:43:48,36.19,117.66,44.53,77,100,5.46,overcast clouds,0.0,0.0
78,Mogadishu,SO,2020-02-23 21:43:48,2.04,45.34,80.62,81,41,26.8,scattered clouds,0.0,0.0
79,Cape Town,ZA,2020-02-23 21:39:03,-33.93,18.42,66.99,59,0,18.34,clear sky,0.0,0.0
80,Jiangyou,CN,2020-02-23 21:43:49,31.77,104.72,35.64,94,20,2.04,few clouds,0.0,0.0
81,Praia Da Vitoria,PT,2020-02-23 21:43:49,38.73,-27.07,59.0,82,20,7.14,few clouds,0.0,0.0
82,Norman Wells,CA,2020-02-23 21:43:49,65.28,-126.83,5.0,71,75,10.29,broken clouds,0.0,0.0
83,Esperance,AU,2020-02-23 21:42:52,-33.87,121.9,64.4,88,90,12.75,overcast clouds,0.0,0.0
84,Mar Del Plata,AR,2020-02-23 21:41:53,-38.0,-57.56,77.0,50,20,11.41,few clouds,0.0,0.0
85,Aksu,CN,2020-02-23 21:43:49,41.12,80.26,37.27,45,96,4.34,overcast clouds,0.0,0.0
86,Meulaboh,ID,2020-02-23 21:43:49,4.14,96.13,81.03,81,5,7.7,clear sky,0.0,0.0
87,Manokwari,ID,2020-02-23 21:43:49,-0.87,134.08,73.67,76,100,3.2,overcast clouds,0.0,0.0
88,Shache,CN,2020-02-23 21:43:49,38.42,77.24,41.25,37,96,6.15,overcast clouds,0.0,0.0
89,Barcelos,PT,2020-02-23 21:43:49,41.54,-8.62,59.0,100,0,3.36,mist,0.0,0.0
90,Qarchi Gak,AF,2020-02-23 21:43:49,37.04,66.79,62.6,51,75,2.24,light intensity shower rain,0.0,0.0
91,Fare,PF,2020-02-23 21:43:49,-16.7,-151.02,82.9,71,76,13.38,broken clouds,0.0,0.0
92,Jamestown,US,2020-02-23 21:43:49,42.1,-79.24,48.99,26,1,16.11,clear sky,0.0,0.0
93,Monte Alegre,BR,2020-02-23 21:43:49,-2.01,-54.07,84.33,70,80,3.09,broken clouds,0.0,0.0
94,Sapulpa,US,2020-02-23 21:43:49,36.0,-96.11,52.0,87,90,5.82,light rain,0.0,0.0
95,Nata,PA,2020-02-23 21:43:49,8.33,-80.52,81.0,23,96,17.78,overcast clouds,0.0,0.0
96,Tasiilaq,GL,2020-02-23 21:43:49,65.61,-37.64,12.2,66,60,13.87,broken clouds,0.0,0.0
97,Natal,BR,2020-02-23 21:43:49,-5.79,-35.21,82.4,83,20,11.41,few clouds,0.0,0.0
98,Buin,CL,2020-02-23 21:43:50,-33.73,-70.75,80.6,28,0,6.93,clear sky,0.0,0.0
99,San Patricio,MX,2020-02-23 21:43:50,19.22,-104.7,84.2,74,5,13.87,clear sky,0.0,0.0
100,Mugur-Aksy,RU,2020-02-23 21:43:50,50.35,90.5,5.58,96,100,3.51,light snow,0.0,0.31
101,Qaanaaq,GL,2020-02-23 21:43:50,77.48,-69.36,-19.41,68,0,7.14,clear sky,0.0,0.0
102,Takaka,NZ,2020-02-23 21:43:50,-40.85,172.8,64.99,77,14,3.0,few clouds,0.0,0.0
103,Te Anau,NZ,2020-02-23 21:43:50,-45.42,167.72,52.12,72,2,2.98,clear sky,0.0,0.0
104,Vaini,TO,2020-02-23 21:43:50,-21.2,-175.2,80.6,88,40,9.17,scattered clouds,0.0,0.0
105,Yashkul,RU,2020-02-23 21:43:50,46.17,45.34,38.95,82,86,7.63,overcast clouds,0.0,0.0
106,Chuy,UY,2020-02-23 21:43:50,-33.7,-53.46,71.87,61,23,10.29,few clouds,0.0,0.0
107,Carnarvon,AU,2020-02-23 21:41:18,-24.87,113.63,69.8,88,0,4.7,clear sky,0.0,0.0
108,Severo-Kurilsk,RU,2020-02-23 21:43:50,50.68,156.12,24.21,95,100,35.48,snow,0.0,2.75
109,Ribeira Grande,PT,2020-02-23 21:43:50,38.52,-28.7,60.8,72,75,6.93,broken clouds,0.0,0.0
110,Bluff,NZ,2020-02-23 21:43:50,-46.6,168.33,55.44,75,66,5.08,broken clouds,0.0,0.0
111,Zaltan,LY,2020-02-23 21:43:50,32.95,11.87,57.94,66,0,6.08,clear sky,0.0,0.0
112,Sharon,US,2020-02-23 21:43:51,41.23,-80.49,51.01,29,90,5.82,overcast clouds,0.0,0.0
113,Takoradi,GH,2020-02-23 21:43:51,4.88,-1.76,79.92,89,82,5.91,broken clouds,0.0,0.0
114,Azul,AR,2020-02-23 21:43:51,-36.78,-59.86,82.99,18,0,14.16,clear sky,0.0,0.0
115,Sao Joao Da Barra,BR,2020-02-23 21:43:51,-21.64,-41.05,77.0,69,100,4.7,overcast clouds,0.0,0.0
116,Yulara,AU,2020-02-23 21:43:51,-25.24,130.99,71.6,24,0,8.05,clear sky,0.0,0.0
117,Ferme-Neuve,CA,2020-02-23 21:43:51,46.7,-75.45,32.52,93,100,6.11,overcast clouds,0.0,0.0
118,Naryan-Mar,RU,2020-02-23 21:43:51,67.67,53.09,30.27,80,89,28.23,overcast clouds,0.0,0.0
119,Victoria,HK,2020-02-23 21:42:01,22.29,114.16,69.01,63,20,25.28,few clouds,0.0,0.0
120,Bredasdorp,ZA,2020-02-23 21:43:51,-34.53,20.04,66.2,55,0,10.29,clear sky,0.0,0.0
121,Yarada,IN,2020-02-23 21:43:51,17.65,83.27,68.0,100,11,2.24,mist,0.0,0.0
122,Kodiak,US,2020-02-23 21:43:51,57.79,-152.41,24.8,35,1,18.34,clear sky,0.0,0.0
123,Sibolga,ID,2020-02-23 21:43:51,1.74,98.78,70.74,89,0,4.03,clear sky,0.0,0.0
124,Hobart,AU,2020-02-23 21:43:51,-42.88,147.33,59.0,76,75,5.82,broken clouds,0.0,0.0
125,Kenai,US,2020-02-23 21:43:51,60.55,-151.26,19.4,61,1,4.7,clear sky,0.0,0.0
126,Upernavik,GL,2020-02-23 21:42:07,72.79,-56.15,-17.82,81,0,7.31,clear sky,0.0,0.0
127,Albany,US,2020-02-23 21:43:51,42.6,-73.97,51.8,29,75,5.82,broken clouds,0.0,0.0
128,Seydi,TM,2020-02-23 21:43:52,39.48,62.91,46.65,66,0,4.92,clear sky,0.0,0.0
129,Aklavik,CA,2020-02-23 21:43:52,68.22,-135.01,-4.0,70,75,5.82,light snow,0.0,0.0
130,Souillac,MU,2020-02-23 21:39:52,-20.52,57.52,77.0,88,40,4.7,scattered clouds,0.0,0.0
131,Chokurdakh,RU,2020-02-23 21:43:52,70.63,147.92,-20.96,97,77,2.82,broken clouds,0.0,0.0
132,Upata,VE,2020-02-23 21:43:52,8.01,-62.4,89.37,40,100,3.33,overcast clouds,0.0,0.0
133,Humaita,BR,2020-02-23 21:43:52,-7.51,-63.02,79.72,82,100,2.1,overcast clouds,0.0,0.0
134,Tuktoyaktuk,CA,2020-02-23 21:43:52,69.45,-133.04,-5.8,70,75,13.87,light snow,0.0,0.0
135,Benito Juarez,MX,2020-02-23 21:43:52,19.39,-99.17,87.8,19,5,4.7,clear sky,0.0,0.0
136,Provideniya,RU,2020-02-23 21:43:52,64.38,-173.3,-6.63,70,0,2.08,clear sky,0.0,0.0
137,Poienile De Sub Munte,RO,2020-02-23 21:43:52,47.82,24.43,33.53,98,100,15.86,snow,0.0,6.13
138,Akot,IN,2020-02-23 21:43:52,21.1,77.06,75.51,24,75,6.46,broken clouds,0.0,0.0
139,Kununurra,AU,2020-02-23 21:43:52,-15.77,128.73,75.2,88,78,4.7,broken clouds,0.0,0.0
140,Zemio,CF,2020-02-23 21:43:52,5.03,25.14,78.08,24,31,6.46,scattered clouds,0.0,0.0
141,Cheney,US,2020-02-23 21:43:49,47.49,-117.58,43.0,65,75,18.34,light rain,0.0,0.0
142,Panzhihua,CN,2020-02-23 21:43:52,26.59,101.71,47.77,82,0,1.83,clear sky,0.0,0.0
143,Irun,ES,2020-02-23 21:43:52,43.34,-1.79,51.8,87,90,3.36,overcast clouds,0.0,0.0
144,Lebu,CL,2020-02-23 21:43:52,-37.62,-73.65,63.63,63,0,9.86,clear sky,0.0,0.0
145,El Espinal,MX,2020-02-23 21:43:52,16.33,-94.07,84.94,38,0,5.95,clear sky,0.0,0.0
146,Ahlat,TR,2020-02-23 21:43:52,38.75,42.48,28.53,88,26,0.65,scattered clouds,0.0,0.0
147,Nizhnyaya Tavda,RU,2020-02-23 21:43:53,57.67,66.17,19.2,95,98,7.49,overcast clouds,0.0,0.0
148,Kokstad,ZA,2020-02-23 21:43:53,-30.55,29.42,49.21,94,100,2.84,overcast clouds,0.0,0.0
149,Port-Gentil,GA,2020-02-23 21:43:53,-0.72,8.78,82.4,88,20,5.82,few clouds,0.0,0.0
150,Tougue,GN,2020-02-23 21:43:53,11.47,-11.6,80.19,18,57,2.93,broken clouds,0.0,0.0
151,Barrow,US,2020-02-23 21:43:53,71.29,-156.79,-27.4,74,1,10.29,clear sky,0.0,0.0
152,Bathsheba,BB,2020-02-23 21:43:53,13.22,-59.52,82.4,74,40,13.87,scattered clouds,0.0,0.0
